gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,commonName.default,opponentCommonName.default,opponentCommonName.fr
2020020138,CAR,H,2021-01-31,0,0,0,1,0,0,0,0,2,26,0,0,DAL,0,21:00,Hurricanes,Stars,NA
2020020153,CAR,R,2021-02-02,0,0,0,1,0,0,0,0,3,23,0,0,CHI,0,20:52,Hurricanes,Blackhawks,NA
2020020168,CAR,R,2021-02-04,0,1,1,1,0,0,0,0,3,21,0,0,CHI,2,17:50,Hurricanes,Blackhawks,NA
2020020238,CAR,R,2021-02-13,0,1,1,0,0,0,0,0,2,21,0,0,DAL,0,17:41,Hurricanes,Stars,NA
2020020255,CAR,H,2021-02-15,0,1,1,0,0,1,0,0,1,21,0,0,CBJ,0,16:59,Hurricanes,Blue Jackets,NA
2020020274,CAR,H,2021-02-19,1,1,2,1,1,2,0,0,5,21,0,0,CHI,2,15:20,Hurricanes,Blackhawks,NA
2020020280,CAR,H,2021-05-06,1,0,1,1,0,0,0,0,2,23,1,1,CHI,0,18:15,Hurricanes,Blackhawks,NA
2020020296,CAR,R,2021-02-24,0,0,0,-1,0,0,0,0,1,19,0,0,TBL,0,17:57,Hurricanes,Lightning,NA
2020020314,CAR,R,2021-02-25,0,0,0,-1,0,0,0,0,2,21,0,0,TBL,2,14:00,Hurricanes,Lightning,NA
2020020330,CAR,R,2021-02-27,0,0,0,0,0,0,0,0,1,22,0,0,FLA,0,17:25,Hurricanes,Panthers,NA
2020020348,CAR,R,2021-03-01,1,2,3,2,0,1,1,1,3,19,0,0,FLA,0,11:58,Hurricanes,Panthers,NA
2020020365,CAR,H,2021-03-04,1,1,2,1,0,0,0,0,3,17,0,0,DET,0,13:59,Hurricanes,Red Wings,NA
2020020404,CAR,H,2021-03-09,0,0,0,0,0,0,0,0,2,25,0,0,NSH,2,14:58,Hurricanes,Predators,NA
2020020419,CAR,H,2021-03-11,1,0,1,0,1,1,0,0,3,20,0,0,NSH,0,17:32,Hurricanes,Predators,NA
2020020442,CAR,R,2021-03-14,0,0,0,1,0,0,0,0,1,17,0,0,DET,0,18:24,Hurricanes,Red Wings,NA
2020020460,CAR,R,2021-03-16,0,1,1,-1,0,0,0,0,2,19,0,0,DET,0,19:13,Hurricanes,Red Wings,NA
2020020470,CAR,H,2021-03-18,0,1,1,0,0,1,0,0,3,23,0,0,CBJ,0,21:39,Hurricanes,Blue Jackets,NA
2020020485,CAR,H,2021-03-20,0,0,0,0,0,0,0,0,2,22,0,0,CBJ,0,22:35,Hurricanes,Blue Jackets,NA
2020020497,CAR,R,2021-03-22,1,0,1,1,0,0,0,0,4,20,0,0,CBJ,0,17:25,Hurricanes,Blue Jackets,NA
2020020518,CAR,R,2021-03-25,1,1,2,2,0,0,0,0,2,22,0,0,CBJ,0,20:11,Hurricanes,Blue Jackets,NA
2020020531,CAR,H,2021-03-27,2,2,4,2,2,2,1,0,6,25,0,0,TBL,0,23:16,Hurricanes,Lightning,NA
2020020543,CAR,H,2021-02-20,0,1,1,1,0,0,0,0,2,17,0,0,TBL,0,18:26,Hurricanes,Lightning,NA
2020020562,CAR,R,2021-03-30,0,0,0,0,0,0,0,0,0,20,0,0,CHI,0,17:20,Hurricanes,Blackhawks,NA
2020020576,CAR,R,2021-04-01,0,0,0,-1,0,0,0,0,4,20,0,0,CHI,0,17:15,Hurricanes,Blackhawks,NA
2020020588,CAR,H,2021-04-03,0,0,0,0,0,0,0,0,4,23,0,0,DAL,0,17:50,Hurricanes,Stars,NA
2020020598,CAR,H,2021-04-04,0,0,0,1,0,0,0,0,2,21,0,0,DAL,0,18:39,Hurricanes,Stars,NA
2020020615,CAR,H,2021-04-06,0,0,0,0,0,0,0,0,2,22,0,0,FLA,0,15:50,Hurricanes,Panthers,NA
2020020629,CAR,H,2021-04-08,1,1,2,2,0,0,0,0,1,22,0,0,FLA,0,16:25,Hurricanes,Panthers,NA
2020020642,CAR,H,2021-04-10,1,1,2,1,0,0,0,0,2,23,0,0,DET,0,18:38,Hurricanes,Red Wings,NA
2020020657,CAR,H,2021-04-12,0,0,0,0,0,0,0,0,1,20,0,0,DET,0,16:54,Hurricanes,Red Wings,NA
2020020678,CAR,H,2021-04-15,0,1,1,1,0,0,0,0,1,21,0,0,NSH,2,14:01,Hurricanes,Predators,NA
2020020693,CAR,H,2021-04-17,0,0,0,0,0,0,0,0,2,18,0,0,NSH,0,14:37,Hurricanes,Predators,NA
2020020706,CAR,R,2021-04-19,0,0,0,-1,0,0,0,0,2,18,0,0,TBL,0,15:06,Hurricanes,Lightning,NA
2020020718,CAR,R,2021-04-20,0,1,1,1,0,0,0,0,1,19,0,0,TBL,0,15:35,Hurricanes,Lightning,NA
2020020732,CAR,R,2021-04-22,0,3,3,2,0,1,0,0,1,27,0,2,FLA,0,18:18,Hurricanes,Panthers,NA
2020020745,CAR,R,2021-04-24,0,0,0,0,0,0,0,0,1,23,0,0,FLA,0,19:24,Hurricanes,Panthers,NA
2020020763,CAR,R,2021-04-26,0,0,0,1,0,0,0,0,3,27,0,0,DAL,0,22:52,Hurricanes,Stars,NA
2020020774,CAR,R,2021-04-27,0,0,0,0,0,0,0,0,0,20,0,0,DAL,0,15:05,Hurricanes,Stars,NA
2020020786,CAR,H,2021-04-29,0,0,0,0,0,0,0,0,2,19,0,0,DET,0,14:39,Hurricanes,Red Wings,NA
2020020800,CAR,H,2021-05-01,0,0,0,0,0,0,0,0,2,17,0,0,CBJ,0,16:24,Hurricanes,Blue Jackets,NA
2020020816,CAR,H,2021-05-03,1,0,1,2,0,0,0,0,3,18,0,0,CHI,0,16:15,Hurricanes,Blackhawks,NA
2020020827,CAR,H,2021-05-04,1,1,2,1,0,0,0,0,3,20,1,1,CHI,0,17:15,Hurricanes,Blackhawks,NA
2020020846,CAR,R,2021-05-10,0,0,0,-2,0,0,0,0,5,22,0,0,NSH,0,16:55,Hurricanes,Predators,NA
2020020861,CAR,R,2021-05-08,0,0,0,0,0,0,0,0,1,21,0,0,NSH,0,15:15,Hurricanes,Predators,NA
2021020012,CAR,H,2021-10-14,0,0,0,-2,0,0,0,0,0,20,0,0,NYI,2,14:14,Hurricanes,Islanders,NA
2021020029,CAR,R,2021-10-16,0,1,1,0,0,0,0,0,5,23,0,0,NSH,0,16:20,Hurricanes,Predators,NA
2021020052,CAR,R,2021-10-21,0,1,1,1,0,0,0,0,0,19,0,0,MTL,0,16:00,Hurricanes,Canadiens,NA
2021020073,CAR,R,2021-10-23,0,0,0,1,0,0,0,0,3,20,0,0,CBJ,0,17:41,Hurricanes,Blue Jackets,NA
2021020087,CAR,H,2021-10-25,0,0,0,0,0,0,0,0,1,20,0,0,TOR,0,16:15,Hurricanes,Maple Leafs,NA
2021020104,CAR,H,2021-10-28,0,0,0,1,0,0,0,0,0,19,0,0,BOS,0,18:00,Hurricanes,Bruins,NA
2021020114,CAR,H,2021-10-29,0,0,0,3,0,0,0,0,2,24,0,0,CHI,2,14:30,Hurricanes,Blackhawks,NA
2021020128,CAR,H,2021-10-31,1,1,2,1,0,1,0,0,4,21,0,0,ARI,0,17:04,Hurricanes,Coyotes,NA
2021020144,CAR,R,2021-11-03,1,0,1,-1,0,0,1,0,2,20,0,0,CHI,0,15:25,Hurricanes,Blackhawks,NA
