"game_number","game_date","season","teamId","team_abbr","team_name","gameId","playerId","sA_ev","gA_ev","xGA_ev","xGF_ev","team_xg_pct_ev","ev_gsax","cumulative_ev_gsax","ev_sv_pct","cumulative_ev_sv_pct","cumulative_gA_ev"
146,"2023-02-16","2022",1,"NJD","New Jersey Devils",2022020874,8478406,30,3,2.69193121288547,3.03007027345258,52.9547271297854,-0.308068787114533,-19.9991138666659,0.9,0.914486107364446,317
147,"2023-02-19","2022",1,"NJD","New Jersey Devils",2022020900,8478406,22,2,2.60860113108762,2.98308482123458,53.3485758440301,0.608601131087616,-19.3905127355783,0.909090909090909,0.914454277286136,319
148,"2023-03-25","2022",1,"NJD","New Jersey Devils",2022021159,8478406,28,3,1.793426508445,4.18222958800073,69.9877891314442,-1.206573491555,-20.5970862271333,0.892857142857143,0.91429331913761,322
149,"2023-04-01","2022",1,"NJD","New Jersey Devils",2022021211,8478406,16,3,1.13943328865143,3.24100286299168,73.9881315648437,-1.86056671134857,-22.4576529384819,0.8125,0.913861648555526,325
150,"2023-04-02","2022",1,"NJD","New Jersey Devils",2022021223,8478406,3,1,0.36175998465684,2.25548154021519,86.1778142667009,-0.63824001534316,-23.0958929538251,0.666666666666667,0.913665254237288,326
151,"2023-04-08","2022",1,"NJD","New Jersey Devils",2022021265,8478406,35,1,2.75092730911369,1.9378517057268,41.3295593499564,1.75092730911369,-21.3449656447114,0.971428571428571,0.914195749147205,327
152,"2023-04-13","2022",1,"NJD","New Jersey Devils",2022021301,8478406,11,4,1.16723499770149,4.46109287439095,79.2614249875328,-2.83276500229851,-24.1777306470099,0.636363636363636,0.913396127681842,331
153,"2023-10-14","2023",28,"SJS","San Jose Sharks",2023020030,8478406,41,1,3.51121622642293,1.85851278360357,34.6109231980479,2.51121622642293,-21.6665144205869,0.975609756097561,0.91405643282423,332
154,"2023-10-17","2023",28,"SJS","San Jose Sharks",2023020047,8478406,23,2,1.76330750714022,0.787321269512177,30.86773256536,-0.236692492859777,-21.9032069134467,0.91304347826087,0.914050437467833,334
155,"2023-10-21","2023",28,"SJS","San Jose Sharks",2023020074,8478406,24,3,2.30691540241241,1.29853749275208,36.0159328247952,-0.693084597587585,-22.5962915110343,0.875,0.91381074168798,337
156,"2023-10-24","2023",28,"SJS","San Jose Sharks",2023020089,8478406,25,1,2.2918151098991,1.21271568536758,34.6042239664583,1.2918151098991,-21.3044764011352,0.96,0.914104193138501,338
157,"2023-10-26","2023",28,"SJS","San Jose Sharks",2023020106,8478406,17,4,2.13370758295059,1.44392923461232,40.35986066344,-1.86629241704941,-23.1707688181846,0.764705882352941,0.913461538461538,342
158,"2023-10-29","2023",28,"SJS","San Jose Sharks",2023020128,8478406,35,2,2.00049179792404,2.2659073472023,53.110533499678,0.000491797924041748,-23.1702770202606,0.942857142857143,0.913719588663155,344
159,"2023-11-02","2023",28,"SJS","San Jose Sharks",2023020156,8478406,11,3,1.06973022222519,1.88578253984451,63.8055962419167,-1.93026977777481,-25.1005467980354,0.727272727272727,0.913206603301651,347
160,"2023-11-04","2023",28,"SJS","San Jose Sharks",2023020171,8478406,17,5,1.29532492160797,0.927016794681549,41.713512727886,-3.70467507839203,-28.8052218764274,0.705882352941177,0.912328767123288,352
161,"2023-11-07","2023",28,"SJS","San Jose Sharks",2023020189,8478406,31,1,2.16040127332708,1.71879009546741,44.307948024785,1.16040127332708,-27.6448206031003,0.967741935483871,0.912753336628769,353
162,"2023-11-09","2023",28,"SJS","San Jose Sharks",2023020203,8478406,33,2,3.13155569248472,2.08441984653473,39.9622243421521,1.13155569248472,-26.5132649106156,0.93939393939394,0.912968864917872,355
163,"2023-11-12","2023",28,"SJS","San Jose Sharks",2023020226,8478406,29,2,2.72400069236755,1.51264546567126,35.7038423612767,0.724000692367554,-25.7892642182481,0.931034482758621,0.913096397273612,357
164,"2023-11-14","2023",28,"SJS","San Jose Sharks",2023020237,8478406,23,2,1.81249284744263,1.92414808273315,51.4940589339056,-0.187507152557373,-25.9767713708054,0.91304347826087,0.913096102638586,359
165,"2023-11-20","2023",28,"SJS","San Jose Sharks",2023020278,8478406,29,2,2.88952952623367,1.57589828968048,35.2910931414948,0.889529526233673,-25.0872418445718,0.931034482758621,0.913221153846154,361
166,"2023-11-22","2023",28,"SJS","San Jose Sharks",2023020292,8478406,7,2,1.05411463975906,0.747088253498077,41.4771848465726,-0.945885360240937,-26.0331272048127,0.714285714285714,0.912886969042477,363
167,"2023-11-24","2023",28,"SJS","San Jose Sharks",2023020300,8478406,22,2,2.29759600710611,2.12465363092072,48.0446334971882,0.29759600710611,-25.7355311977066,0.909090909090909,0.912867032704703,365
168,"2023-11-27","2023",28,"SJS","San Jose Sharks",2023020326,8478406,28,1,1.92024451494217,1.99300301558792,50.9296434748646,0.920244514942169,-24.8152866827644,0.964285714285714,0.913208442020394,366
169,"2023-11-30","2023",28,"SJS","San Jose Sharks",2023020340,8478406,31,2,2.26270080784706,1.07116377353668,32.1297925392065,0.262700807847056,-24.5525858749174,0.935483870967742,0.913370998116761,368
170,"2023-12-03","2023",28,"SJS","San Jose Sharks",2023020370,8478406,32,5,4.1715095937252,3.02133226394653,42.0047086218647,-0.828490406274796,-25.3810762811922,0.84375,0.91285046728972,373
171,"2023-12-07","2023",28,"SJS","San Jose Sharks",2023020393,8478406,19,4,1.74594742059708,2.51690063152266,59.04270104751,-2.25405257940292,-27.6351288605951,0.789473684210526,0.91230518725285,377
172,"2023-12-12","2023",28,"SJS","San Jose Sharks",2023020441,8478406,29,1,2.46666270494461,2.37349261070196,49.0375299120932,1.46666270494461,-26.1684661556505,0.96551724137931,0.912661737523105,378
173,"2023-12-17","2023",28,"SJS","San Jose Sharks",2023020477,8478406,19,3,4.62900799512863,1.32020807266235,22.1912947457053,1.62900799512863,-24.5394581605218,0.842105263157895,0.912353347135956,381
174,"2023-12-21","2023",28,"SJS","San Jose Sharks",2023020509,8478406,25,4,2.95078128576279,2.45799440145493,45.4445616456933,-1.04921871423721,-25.588676874759,0.84,0.911939615736505,385
175,"2023-12-23","2023",28,"SJS","San Jose Sharks",2023020527,8478406,17,5,2.23530375957489,1.39238953590393,38.3822286641283,-2.76469624042511,-28.3533731151842,0.705882352941177,0.911141490088858,390
176,"2024-01-04","2023",28,"SJS","San Jose Sharks",2023020601,8478406,25,1,2.22607761621475,0.991976976394653,30.8253619647358,1.22607761621475,-27.1272954989694,0.96,0.911418214771183,391
177,"2024-01-06","2023",28,"SJS","San Jose Sharks",2023020613,8478406,30,3,2.70112466812134,1.49281829595566,35.5946256003555,-0.298875331878662,-27.4261708308481,0.9,0.911341134113411,394
178,"2024-01-09","2023",28,"SJS","San Jose Sharks",2023020627,8478406,21,1,1.73047935962677,1.06031435728073,37.9932902549198,0.73047935962677,-26.6956914712213,0.952380952380952,0.911534154535274,395
179,"2024-01-11","2023",28,"SJS","San Jose Sharks",2023020642,8478406,34,2,2.52867027936435,2.2658801965815,47.259491957575,0.528670279364352,-26.1670211918569,0.941176470588235,0.911758168481885,397
180,"2024-01-13","2023",28,"SJS","San Jose Sharks",2023020655,8478406,36,5,2.30017328262329,1.49196875095367,39.3436938211506,-2.69982671737671,-28.8668479092337,0.861111111111111,0.91135611907387,402
181,"2024-01-16","2023",28,"SJS","San Jose Sharks",2023020686,8478406,16,0,1.21411699209926,3.9866731260434,76.6551434586088,1.21411699209926,-27.6527309171344,1,0.911667765326302,402
182,"2024-01-20","2023",28,"SJS","San Jose Sharks",2023020715,8478406,28,2,2.43674522638321,2.41024705630526,49.726653473613,0.436745226383209,-27.2159856907512,0.928571428571429,0.911771129067482,404
183,"2024-01-23","2023",28,"SJS","San Jose Sharks",2023020738,8478406,27,2,1.9946211061168,1.72108960764962,46.319257343504,-0.0053788938831949,-27.2213645846344,0.925925925925926,0.911854103343465,406
184,"2024-01-30","2023",28,"SJS","San Jose Sharks",2023020777,8478406,29,0,2.69076335430145,2.18713599241269,44.8376613979538,2.69076335430145,-24.5306012303329,1,0.912405609492988,406
185,"2024-02-15","2023",28,"SJS","San Jose Sharks",2023020846,8478406,27,3,2.7930090715962,2.48084085505145,47.040414299927,-0.206990928403798,-24.7375921587367,0.888888888888889,0.912269412269412,409
186,"2024-02-19","2023",28,"SJS","San Jose Sharks",2023020873,8478406,20,3,2.56035017967224,1.78227776288986,41.0414566125215,-0.439649820327759,-25.1772419790645,0.85,0.912003417343016,412
187,"2024-02-27","2023",28,"SJS","San Jose Sharks",2023020938,8478406,7,0,0.374951064586639,3.53258341550827,90.4044080353827,0.374951064586639,-24.8022909144778,1,0.912134783535935,412
188,"2024-03-21","2023",28,"SJS","San Jose Sharks",2023021108,8478406,17,3,2.00684695365195,1.50137376768959,42.7958753722732,-0.993153046348051,-25.7954439608259,0.823529411764706,0.911814704632384,415
189,"2024-03-26","2023",28,"SJS","San Jose Sharks",2023021147,8478406,32,4,2.5895704627037,1.4796250462532,36.3616111095259,-1.4104295372963,-27.2058734981222,0.875,0.91156606162938,419
190,"2024-03-28","2023",28,"SJS","San Jose Sharks",2023021156,8478406,21,2,2.48527640104294,1.73950558900833,41.1738544877489,0.485276401042938,-26.7205970970793,0.904761904761905,0.911536036982559,421
191,"2024-03-30","2023",28,"SJS","San Jose Sharks",2023021177,8478406,33,0,2.5728667974472,2.08423412757197,44.753896493308,2.5728667974472,-24.147730299632,1,0.912145242070117,421
192,"2024-04-01","2023",28,"SJS","San Jose Sharks",2023021188,8478406,27,3,2.61884728074074,1.77351874113083,40.3772985288494,-0.381152719259262,-24.5288830188913,0.888888888888889,0.912014940859099,424
193,"2024-04-04","2023",28,"SJS","San Jose Sharks",2023021210,8478406,22,2,2.15509814023972,0.953579246997833,30.674757403669,0.155098140239716,-24.3737848786516,0.909090909090909,0.912001652551126,426
194,"2024-04-07","2023",28,"SJS","San Jose Sharks",2023021231,8478406,20,3,1.643336502815,1.77856105621676,51.9758708592086,-1.356663497185,-25.7304483758366,0.85,0.911746554206953,429
195,"2024-04-09","2023",28,"SJS","San Jose Sharks",2023021251,8478406,31,1,2.88157371752333,1.43568235287805,33.2545100282776,1.88157371752333,-23.8488746583133,0.967741935483871,0.91210139002453,430
196,"2024-04-13","2023",28,"SJS","San Jose Sharks",2023021282,8478406,36,5,3.19017223156142,1.24835395812988,28.125416067821,-1.80982776843858,-25.6587024267518,0.861111111111111,0.911728896103896,435
