"game_number","game_date","season","team_id","team_abbr","team_name","game_id","player_id","shots_against_ev","goals_against_ev","xga_ev","xgf_ev","team_change","team_xg_pct_ev","gsax_ev","cumulative_gsax_ev","sv_pct_ev","cumulative_sv_pct_ev","cumulative_goals_against_ev"
72,"2022-01-22",2021,3,"NYR","New York Rangers",2021020725,8478048,23,3,2.76150627664759,1.55262381857522,0,35.989267460768,-0.23849372335241,20.414903680434,0.869565217391304,0.93021978021978,127
73,"2022-01-24",2021,3,"NYR","New York Rangers",2021020738,8478048,28,1,1.68607733601029,1.56226547620409,0,48.0942303974099,0.686077336010292,21.1009810164443,0.964285714285714,0.930735930735931,128
74,"2022-01-28",2021,3,"NYR","New York Rangers",2021020767,8478048,33,2,2.72065982452381,2.02616110418435,0,42.6845911108715,0.720659824523811,21.8216408409681,0.93939393939394,0.930887825624668,130
75,"2022-01-30",2021,3,"NYR","New York Rangers",2021020785,8478048,33,1,1.84423344515392,2.07281199610506,0,52.9177418845269,0.844233445153922,22.665874286122,0.96969696969697,0.931556948798328,131
76,"2022-02-01",2021,3,"NYR","New York Rangers",2021020800,8478048,30,1,1.93411294091518,2.5727187983015,0,57.0848646492549,0.934112940915177,23.5999872270372,0.966666666666667,0.932098765432099,132
77,"2022-02-15",2021,3,"NYR","New York Rangers",2021021263,8478048,30,1,2.82810311917922,3.05943893621187,0,51.9646213551954,1.82810311917922,25.4280903462164,0.966666666666667,0.932624113475177,133
78,"2022-02-17",2021,3,"NYR","New York Rangers",2021020525,8478048,29,2,1.97758689100484,3.0734276942057,0,60.8477295473419,-0.022413108995164,25.4056772372213,0.931034482758621,0.932601098352471,135
79,"2022-02-20",2021,3,"NYR","New York Rangers",2021020263,8478048,25,1,1.88918156493824,1.76332040251456,0,48.2770555150247,0.88918156493824,26.2948588021595,0.96,0.932938856015779,136
80,"2022-02-24",2021,3,"NYR","New York Rangers",2021020818,8478048,31,1,1.90954894052533,1.98806963421183,0,51.007290633766,0.909548940525327,27.2044077426848,0.967741935483871,0.933462846041768,137
81,"2022-02-26",2021,3,"NYR","New York Rangers",2021020833,8478048,22,0,2.18166209713171,1.62525209241037,0,42.6921126006748,2.18166209713171,29.3860698398165,1,0.934166266218164,137
82,"2022-03-02",2021,3,"NYR","New York Rangers",2021020861,8478048,27,3,2.22853920626633,3.75345547605093,0,62.7458845315614,-0.771460793733673,28.6146090460829,0.888888888888889,0.933586337760911,140
83,"2022-03-04",2021,3,"NYR","New York Rangers",2021020875,8478048,23,1,1.79688036648372,2.2921742329861,0,56.0563371612427,0.796880366483719,29.4114894125666,0.956521739130435,0.933833880807133,141
84,"2022-03-06",2021,3,"NYR","New York Rangers",2021020895,8478048,29,0,2.24390738389052,1.32127054850669,0,37.0604377554383,2.24390738389052,31.6553967964571,1,0.934722222222222,141
85,"2022-03-10",2021,3,"NYR","New York Rangers",2021020924,8478048,12,4,0.990935168479686,2.13702023515444,0,44.9681970829676,-3.00906483152031,28.6463319649368,0.666666666666667,0.933241252302026,145
86,"2022-03-12",2021,3,"NYR","New York Rangers",2021020938,8478048,28,3,2.83437332795241,2.54518096771904,0,47.3121159826748,-0.165626672047594,28.4807052928892,0.892857142857143,0.932727272727273,148
87,"2022-03-17",2021,3,"NYR","New York Rangers",2021020328,8478048,19,1,1.87280907284847,1.98783721516125,0,51.4897524110151,0.87280907284847,29.3535143657377,0.947368421052632,0.932852636322668,149
88,"2022-03-19",2021,3,"NYR","New York Rangers",2021020984,8478048,24,0,1.17433768744887,1.21557739059131,0,50.8627859525505,1.17433768744887,30.5278520531865,1,0.933571110120375,149
89,"2022-03-22",2021,3,"NYR","New York Rangers",2021021005,8478048,23,5,2.29059113689816,2.41820319243941,0,45.8043072824254,-2.70940886310184,27.8184431900847,0.782608695652174,0.932038834951456,154
90,"2022-03-25",2021,3,"NYR","New York Rangers",2021021029,8478048,18,0,1.283938659116,2.39358131754684,0,65.086833864568,1.283938659116,29.1023818492007,1,0.932574430823117,154
91,"2022-03-29",2021,3,"NYR","New York Rangers",2021021062,8478048,20,1,2.35034933137163,3.6136816063019,0,60.5912619177582,1.35034933137163,30.4527311805723,0.95,0.932725694444444,155
92,"2022-04-01",2021,3,"NYR","New York Rangers",2021021086,8478048,12,3,1.19860531978622,1.75259160670604,0,59.3857899136924,-1.80139468021378,28.6513365003585,0.75,0.931778929188256,158
93,"2022-04-03",2021,3,"NYR","New York Rangers",2021021103,8478048,21,3,1.97733948272367,2.79206068141804,0,58.5411285555339,-1.02266051727633,27.6286759830822,0.857142857142857,0.931108258451006,161
94,"2022-04-07",2021,3,"NYR","New York Rangers",2021021129,8478048,24,0,1.97116564809099,2.30939806895152,0,53.95079297049,1.97116564809099,29.5998416311732,1,0.931808555696739,161
95,"2022-04-09",2021,3,"NYR","New York Rangers",2021021144,8478048,22,1,1.92010469653812,3.15622919394197,0,62.175366357619,0.920104696538119,30.5199463277113,0.954545454545455,0.932018464120856,162
96,"2022-04-12",2021,3,"NYR","New York Rangers",2021021168,8478048,21,3,1.67476955907687,2.4300308830791,0,50.2116679081798,-1.32523044092313,29.1947158867882,0.857142857142857,0.931364392678869,165
97,"2022-04-16",2021,3,"NYR","New York Rangers",2021021201,8478048,16,0,0.949172069770015,2.16444676543122,0,69.5154699400234,0.949172069770015,30.1438879565582,1,0.931818181818182,165
98,"2022-04-19",2021,3,"NYR","New York Rangers",2021021224,8478048,31,0,2.0235596249743,2.89766525510961,0,58.8809762958892,2.0235596249743,32.1674475815325,1,0.932680538555692,165
99,"2022-04-23",2021,3,"NYR","New York Rangers",2021021248,8478048,26,3,1.75451903640547,1.29631468025581,0,34.8565370771935,-1.24548096359453,30.921966617938,0.884615384615385,0.93217601937828,168
100,"2022-04-26",2021,3,"NYR","New York Rangers",2021021277,8478048,25,4,2.65931739576732,2.25011310164804,0,45.8324667765976,-1.34068260423268,29.5812840137053,0.84,0.931254996003197,172
101,"2022-10-11",2022,3,"NYR","New York Rangers",2022020003,8478048,18,0,1.58057696084497,2.62384451890602,0,62.4067908401377,1.58057696084497,31.1618609745503,1,0.931746031746032,172
102,"2022-10-13",2022,3,"NYR","New York Rangers",2022020017,8478048,19,2,1.63577033285761,1.66213618234557,0,50.3997361563528,-0.364229667142394,30.7976313074079,0.894736842105263,0.931469082315872,174
103,"2022-10-17",2022,3,"NYR","New York Rangers",2022020039,8478048,19,4,1.66814698868347,2.8094701200776,0,62.7447602560855,-2.33185301131653,28.4657782960913,0.789473684210526,0.930414386239249,178
104,"2022-10-20",2022,3,"NYR","New York Rangers",2022020064,8478048,24,2,2.09713784137169,1.95255706981739,0,48.2149177317675,0.0971378413716941,28.562916137463,0.916666666666667,0.930286599535244,180
105,"2022-10-25",2022,3,"NYR","New York Rangers",2022020099,8478048,36,0,2.61090347867357,2.3409616634065,0,47.2743420153636,2.61090347867357,31.1738196161366,1,0.931245225362872,180
106,"2022-10-29",2022,3,"NYR","New York Rangers",2022020127,8478048,28,3,2.27131370300907,2.700233662644,0,54.3137470900731,-0.728686296990935,30.4451333191457,0.892857142857143,0.930839002267574,183
107,"2022-10-30",2022,3,"NYR","New York Rangers",2022020141,8478048,19,1,1.95070221339873,2.51493328779272,0,56.3174779294397,0.950702213398734,31.3958355325444,0.947368421052632,0.930956848030019,184
108,"2022-11-01",2022,3,"NYR","New York Rangers",2022020149,8478048,16,0,1.23030142839907,3.69867973164996,0,75.0394373918274,1.23030142839907,32.6261369609435,1,0.931368892204401,184
109,"2022-11-03",2022,3,"NYR","New York Rangers",2022020161,8478048,28,4,2.55970390205099,1.45281700688137,0,31.9071960912578,-1.44029609794901,31.1858408629944,0.857142857142857,0.930601698043559,188
110,"2022-11-08",2022,3,"NYR","New York Rangers",2022020198,8478048,19,2,1.21700898476323,2.72511230890585,0,69.1280685168743,-0.782991015236773,30.4028498477577,0.894736842105263,0.930351906158358,190
111,"2022-11-10",2022,3,"NYR","New York Rangers",2022020217,8478048,20,2,1.2443069388057,2.44771690137157,0,66.2974294676831,-0.755693061194302,29.6471567865634,0.9,0.930131004366812,192
112,"2022-11-13",2022,3,"NYR","New York Rangers",2022020239,8478048,22,0,1.23028641102326,1.34930039573478,0,52.3068420182591,1.23028641102326,30.8774431975866,1,0.930685920577617,192
113,"2022-11-17",2022,3,"NYR","New York Rangers",2022020271,8478048,29,3,3.41366901814654,1.86688176505555,0,35.3539212423497,0.413669018146543,31.2911122157332,0.896551724137931,0.930332261521972,195
114,"2022-11-19",2022,3,"NYR","New York Rangers",2022020288,8478048,19,1,1.62771108450651,2.62306489593861,0,61.7079071681387,0.627711084506506,31.9188233002397,0.947368421052632,0.930447125621008,196
115,"2022-11-22",2022,3,"NYR","New York Rangers",2022020302,8478048,37,2,2.79408610996257,2.41091785668523,0,46.3192318802005,0.794086109962571,32.7129094102022,0.945945945945946,0.930647985989492,198
116,"2022-11-26",2022,3,"NYR","New York Rangers",2022020332,8478048,27,3,2.58810328768595,1.39420887816461,0,35.0100348767317,-0.411896712314049,32.3010126978882,0.888888888888889,0.930256766134629,201
117,"2022-11-28",2022,3,"NYR","New York Rangers",2022020346,8478048,28,4,2.08390160236464,2.03044725783161,0,33.0450724210717,-1.91609839763536,30.3849143002528,0.857142857142857,0.929553264604811,205
118,"2022-12-02",2022,3,"NYR","New York Rangers",2022020376,8478048,28,2,2.45695411599728,2.30612172381951,0,48.4166492698175,0.456954115997278,30.8418684162501,0.928571428571429,0.929543907420014,207
119,"2022-12-05",2022,3,"NYR","New York Rangers",2022020398,8478048,28,3,2.21238906324078,1.33971647837664,0,37.7161225273337,-0.787610936759221,30.0542574794909,0.892857142857143,0.9291975724882,210
120,"2022-12-07",2022,3,"NYR","New York Rangers",2022020417,8478048,17,0,1.23582256933718,1.42503065855197,0,53.5554025910119,1.23582256933718,31.2900800488281,1,0.929601072745558,210
121,"2022-12-09",2022,3,"NYR","New York Rangers",2022020430,8478048,40,1,2.86290051137651,1.47177640933956,0,33.9535433957193,1.86290051137651,33.1529805602046,0.975,0.930201786304995,211
122,"2022-12-12",2022,3,"NYR","New York Rangers",2022020450,8478048,28,3,2.72564258239159,0.968952784571086,0,26.2262220441115,-0.27435741760841,32.8786231425962,0.892857142857143,0.929859062602425,214
123,"2022-12-15",2022,3,"NYR","New York Rangers",2022020476,8478048,19,1,2.2331571513057,2.28157445297829,0,50.5362146182361,1.2331571513057,34.1117802939019,0.947368421052632,0.929967426710098,215
124,"2022-12-18",2022,3,"NYR","New York Rangers",2022020499,8478048,28,1,1.9630223702846,2.64013447503126,0,57.3548667523211,0.963022370284605,35.0748026641865,0.964285714285714,0.930277598450613,216
125,"2022-12-20",2022,3,"NYR","New York Rangers",2022020511,8478048,21,1,1.69297262218596,1.80784070695343,0,51.6405913993094,0.692972622185958,35.7677752863724,0.952380952380952,0.93042641872395,217
126,"2022-12-22",2022,3,"NYR","New York Rangers",2022020527,8478048,15,3,1.42468414079198,2.36219093868332,0,62.3783697404304,-1.57531585920802,34.1924594271644,0.8,0.929802169751117,220
127,"2022-12-27",2022,3,"NYR","New York Rangers",2022020549,8478048,24,2,1.63986366064762,1.38714469037079,0,45.8255983966512,-0.360136339352379,33.832323087812,0.916666666666667,0.929702343255225,222
128,"2022-12-29",2022,3,"NYR","New York Rangers",2022020565,8478048,38,1,3.8044477583316,3.01775562777625,0,44.2343251437116,2.8044477583316,36.6367708461436,0.973684210526316,0.930225281602002,223
129,"2023-01-03",2022,3,"NYR","New York Rangers",2022020600,8478048,16,3,1.25687696274406,1.84179227462219,0,59.4381695345982,-1.74312303725594,34.8936478088877,0.8125,0.929638854296389,226
130,"2023-01-07",2022,3,"NYR","New York Rangers",2022020628,8478048,37,3,3.46729259482108,2.83422476977959,0,44.9768620126495,0.467292594821077,35.3609404037088,0.918918918918919,0.929516774392121,229
131,"2023-01-10",2022,3,"NYR","New York Rangers",2022020649,8478048,31,3,2.72088738978616,3.00794655817429,0,52.5053891507043,-0.279112610213841,35.0818277934949,0.903225806451613,0.929268292682927,232
132,"2023-01-12",2022,3,"NYR","New York Rangers",2022020663,8478048,23,0,1.64265936333539,1.66813645272151,0,50.384757786369,1.64265936333539,36.7244871568303,1,0.929760823493794,232
133,"2023-01-15",2022,3,"NYR","New York Rangers",2022020691,8478048,30,1,2.61617846069684,2.98205166191954,0,53.2677577842379,1.61617846069684,38.3406656175272,0.966666666666667,0.93009300930093,233
134,"2023-01-19",2022,3,"NYR","New York Rangers",2022020718,8478048,24,3,2.24300347533845,2.20029951607369,0,49.5194570418977,-0.756996524661548,37.5836690928656,0.875,0.929699136133452,236
135,"2023-01-23",2022,3,"NYR","New York Rangers",2022020751,8478048,30,1,2.42758734307009,3.74891548828038,0,60.6964100987985,1.42758734307009,39.0112564359357,0.966666666666667,0.930026572187777,237
136,"2023-01-25",2022,3,"NYR","New York Rangers",2022020767,8478048,27,3,3.2733438376479,1.85360746046168,0,36.1541850640389,0.273343837647895,39.2846002735836,0.888888888888889,0.929701230228471,240
137,"2023-02-08",2022,3,"NYR","New York Rangers",2022020819,8478048,25,3,1.46766954039541,2.48133733156209,0,62.8344647658742,-1.53233045960459,37.752269813979,0.88,0.929339924396627,243
